url,error
http://www.sunjournal.com/2026/01/06/4-maine-weather-maps-show-how-much-snow-is-coming-tuesday-night/,No <p> text found.
http://www.sunjournal.com/2026/01/04/teens-land-big-one-on-androscoggin-river-in-turner/,No <p> text found.
http://www.centralmaine.com/2026/01/25/bangor-airport-closes-runway/,404 Client Error: Not Found for url: https://www.centralmaine.com/2026/01/25/bangor-airport-closes-runway/
http://www.pressherald.com/2026/01/26/heres-how-much-snow-has-fallen-so-far-in-maine/,No <p> text found.
http://www.pressherald.com/2026/01/23/9-maine-weather-maps-and-charts-show-how-cold-and-snowy-it-will-get-this-weekend/,No <p> text found.
http://www.sunjournal.com/2026/01/08/lewiston-buildings-going-up-and-coming-down/,No <p> text found.
http://www.sunjournal.com/2026/02/10/see-where-team-usa-stacks-up-in-the-olympic-medal-count/,No <p> text found.
http://www.pressherald.com/2025/11/03/the-stories-behind-maines-most-famous-and-strangest-craft-beer-names-column/,"HTTPSConnectionPool(host='www.pressherald.com', port=443): Read timed out. (read timeout=15)"
http://www.sunjournal.com/2025/12/23/roadside-social-justice-message-sent-in-west-paris/,No <p> text found.
http://www.pressherald.com/2026/01/30/thousands-gather-to-protest-ice-activity-in-maine/,No <p> text found.
http://www.sunjournal.com/2026/03/03/two-pets-perish-as-fire-destroys-home-in-wilton/,No <p> text found.
http://www.pressherald.com/2026/01/04/the-silent-partner-that-really-has-hannaford-protesters-so-charged-up-letter/,404 Client Error: Not Found for url: https://www.pressherald.com/2026/01/04/the-silent-partner-that-really-has-hannaford-protesters-so-charged-up-letter/
http://www.centralmaine.com/2025/11/08/10-favorite-photos-from-maine-this-fall/,No <p> text found.
http://www.pressherald.com/2026/02/11/what-maine-got-snowstorm-was-predicted-to-drop-3-6-inches/,No <p> text found.
http://www.pressherald.com/2026/02/21/how-much-snow-fell-across-maine-overnight-check-our-interactive-map/,No <p> text found.
http://www.pressherald.com/2026/01/08/forever-chemicals-found-at-gorham-mobile-home-park/,"HTTPSConnectionPool(host='www.pressherald.com', port=443): Read timed out. (read timeout=15)"
http://www.pressherald.com/2026/01/16/old-orchard-beach-considering-limits-on-public-camping-sleeping-in-cars/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2026/01/16/old-orchard-beach-considering-limits-on-public-camping-sleeping-in-cars/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda8b0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/09/24/wally-lafountain-winslow-football-and-wrestling-coaching-legend-dies-at-99/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/09/24/wally-lafountain-winslow-football-and-wrestling-coaching-legend-dies-at-99/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb130>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/11/03/historical-photos-capture-portlands-coffee-culture/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/11/03/historical-photos-capture-portlands-coffee-culture/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb020>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2025/11/04/high-winds-knock-out-power-to-thousands-across-maine/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2025/11/04/high-winds-knock-out-power-to-thousands-across-maine/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda7a0>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2026/01/18/a-new-style-of-primary-care-is-trending-in-maine/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2026/01/18/a-new-style-of-primary-care-is-trending-in-maine/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd8050>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.sunjournal.com/2025/10/28/lewiston-auburn-restaurants-offer-free-food-with-snap-on-hold/,"HTTPConnectionPool(host='www.sunjournal.com', port=80): Max retries exceeded with url: /2025/10/28/lewiston-auburn-restaurants-offer-free-food-with-snap-on-hold/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb570>: Failed to resolve 'www.sunjournal.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2026/02/13/biddeford-leaders-say-schools-need-more-equitable-funding-calling-it-a-zip-code-crisis/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2026/02/13/biddeford-leaders-say-schools-need-more-equitable-funding-calling-it-a-zip-code-crisis/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda140>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/10/23/top-5-shakeup-in-the-varsity-maine-girls-soccer-poll/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/10/23/top-5-shakeup-in-the-varsity-maine-girls-soccer-poll/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9040>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.sunjournal.com/2026/01/18/jay-womans-20-years-of-homeschooling-built-around-family/,"HTTPConnectionPool(host='www.sunjournal.com', port=80): Max retries exceeded with url: /2026/01/18/jay-womans-20-years-of-homeschooling-built-around-family/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9370>: Failed to resolve 'www.sunjournal.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.sunjournal.com/2025/12/15/former-lewiston-man-sentenced-in-2024-shooting-death-at-hillview-apartments/,"HTTPConnectionPool(host='www.sunjournal.com', port=80): Max retries exceeded with url: /2025/12/15/former-lewiston-man-sentenced-in-2024-shooting-death-at-hillview-apartments/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9260>: Failed to resolve 'www.sunjournal.com' ([Errno 8] nodename nor servname provided, or not known)""))"
