url,error
https://www.pressherald.com/2025/09/01/bob-dylan-and-willie-nelson-headline-outlaw-music-festival-in-bangor/,404 Client Error: Not Found for url: https://www.pressherald.com/2025/09/01/bob-dylan-and-willie-nelson-headline-outlaw-music-festival-in-bangor/
https://www.pressherald.com/2025/02/09/how-much-snow-fell-in-maine-overnight-check-our-interactive-map/,No <p> text found.
https://www.pressherald.com/2025/06/04/ahead-of-tuesdays-elections-read-our-coverage-of-local-issues-and-races-on-the-ballot/,No <p> text found.
https://www.pressherald.com/2025/06/25/here-are-the-12-candidates-running-for-maine-governor-in-2026-so-far/,No <p> text found.
https://www.pressherald.com/2025/05/26/pencil-in-the-cant-miss-events-in-maine-this-summer-and-fall/,404 Client Error: Not Found for url: https://www.pressherald.com/2025/05/26/pencil-in-the-cant-miss-events-in-maine-this-summer-and-fall/
https://www.centralmaine.com/2025/01/31/morningsentinelreaderschoice2025/,No <p> text found.
https://www.centralmaine.com/2025/03/12/vote-for-your-favorite-businesses-now-morning-sentinel-readers-choice-2025/,No <p> text found.
https://www.pressherald.com/2025/02/01/how-much-snow-fell-in-maine-overnight-explore-our-interactive-map/,No <p> text found.
https://www.centralmaine.com/2025/01/24/central-maine-arrest-log-jan-18-24/,404 Client Error: Not Found for url: https://www.centralmaine.com/2025/01/24/central-maine-arrest-log-jan-18-24/
https://www.pressherald.com/2025/03/10/portland-code-enforcement-officer-charged-with-assault-put-on-leave/,404 Client Error: Not Found for url: https://www.pressherald.com/2025/03/10/portland-code-enforcement-officer-charged-with-assault-put-on-leave/
https://www.pressherald.com/2025/08/25/maines-best-bets-this-week-bonnie-raitt-and-the-windjammer-festival/,404 Client Error: Not Found for url: https://www.pressherald.com/2025/08/25/maines-best-bets-this-week-bonnie-raitt-and-the-windjammer-festival/
https://www.centralmaine.com/2025/06/05/ahead-of-tuesdays-elections-read-our-coverage-of-local-issues-and-races-on-the-ballot/,No <p> text found.
https://www.pressherald.com/2025/02/24/throwback-photos-a-look-back-through-the-decades-at-portland-restaurants/,No <p> text found.
https://www.pressherald.com/2024/09/30/in-photos-a-look-back-at-life-in-maine-from-our-archives/,No <p> text found.
